Неделя,ДР,Имя сервера,Номер,Показатель,Myhome,Спутник
12,ДПР,ИЖВ,"2,1",Количество подъездов за период,0,0
12,ДПР,ИЖВ,"2,2",Количество квартир в подъездах за период,0,0
12,ДПР,ИЖВ,"2,3",Количество голосов ЗА в подъездах за период,0,0
12,ДПР,ИЖВ,"2,4",Количество контактов в подъездах за период,0,0
12,ДПР,ИЖВ,"3,1",ПЛАТНЫХ в подъездах за период,0,0
12,ДПР,ИЖВ,"3,2",БЕСПЛАТНЫХ в подъездах за период,0,0
12,ДПР,ИЖВ,"3,3",Выручка в подъездах за период,NULL,NULL
12,ДПР,ИЖВ,"3,4",Всего ключей в подъездах за период,0,0
12,ДПР,ИЖВ,"3,5",Ключей ПЛАТНЫХ в подъездах ПОСЛЕ М2,0,0
12,ДПР,ИЖВ,"3,6",Ключей БЕСПЛАТНЫХ  в подъездах ПОСЛЕ М2,0,0
12,ДПР,ИЖВ,"4,1",Соглашений БСУД в подъездах за период,0,0
12,ДПР,СМР,"1,1",Количество подъездов М2 (на начало),419,0
12,ДПР,СМР,"1,2",Количество квартир в подъездах М2 (на начало),21979,0
12,ДПР,СМР,"1,3",Количество абонентов БСУД (на начало),977,0
12,ДПР,СМР,"1,3.1",Количество соглашений БСУД (на начало),1032,1032
12,ДПР,СМР,"1,3,2",Количество абонентов ДМС (на начало),1229,1229
12,ДПР,СМР,"1,4",Потенциал М2 (на начало),2143,2143
12,ДПР,СМР,"2,1",Количество подъездов за период,4,0
12,ДПР,СМР,"2,2",Количество квартир в подъездах за период,144,0
12,ДПР,СМР,"2,3",Количество голосов ЗА в подъездах за период,123,0
12,ДПР,СМР,"2,4",Количество контактов в подъездах за период,119,0
12,ДПР,СМР,"3,1",ПЛАТНЫХ в подъездах за период,286,0
12,ДПР,СМР,"3,2",БЕСПЛАТНЫХ в подъездах за период,152,0
12,ДПР,СМР,"3,3",Выручка в подъездах за период,NULL,NULL
12,ДПР,СМР,"3,4",Всего ключей в подъездах за период,438,0
12,ДПР,СМР,"3,5",Ключей ПЛАТНЫХ в подъездах ПОСЛЕ М2,1,0
12,ДПР,СМР,"3,6",Ключей БЕСПЛАТНЫХ  в подъездах ПОСЛЕ М2,0,0
12,ДПР,СМР,"4,1",Соглашений БСУД в подъездах за период,12,0
12,ДПР,РНД,"1,1",Количество подъездов М2 (на начало),12,0
12,ДПР,РНД,"1,2",Количество квартир в подъездах М2 (на начало),561,0
12,ДПР,РНД,"1,3",Количество абонентов БСУД (на начало),295,0
12,ДПР,РНД,"1,3.1",Количество соглашений БСУД (на начало),313,313
12,ДПР,РНД,"1,3,2",Количество абонентов ДМС (на начало),0,0
12,ДПР,РНД,"1,4",Потенциал М2 (на начало),1549,1549
12,ДПР,РНД,"2,1",Количество подъездов за период,0,0
12,ДПР,РНД,"2,2",Количество квартир в подъездах за период,0,0
12,ДПР,РНД,"2,3",Количество голосов ЗА в подъездах за период,0,0
12,ДПР,РНД,"2,4",Количество контактов в подъездах за период,0,0
12,ДПР,РНД,"3,1",ПЛАТНЫХ в подъездах за период,0,0
12,ДПР,РНД,"3,2",БЕСПЛАТНЫХ в подъездах за период,0,0
12,ДПР,РНД,"3,3",Выручка в подъездах за период,NULL,NULL
12,ДПР,РНД,"3,4",Всего ключей в подъездах за период,0,0
12,ДПР,РНД,"3,5",Ключей ПЛАТНЫХ в подъездах ПОСЛЕ М2,0,0
12,ДПР,РНД,"3,6",Ключей БЕСПЛАТНЫХ  в подъездах ПОСЛЕ М2,0,0
12,ДПР,РНД,"4,1",Соглашений БСУД в подъездах за период,0,0
12,ДПР,ПНЗ,"1,1",Количество подъездов М2 (на начало),346,0
12,ДПР,ПНЗ,"1,2",Количество квартир в подъездах М2 (на начало),14255,0
12,ДПР,ПНЗ,"1,3",Количество абонентов БСУД (на начало),487,0
12,ДПР,ПНЗ,"1,3.1",Количество соглашений БСУД (на начало),531,531
12,ДПР,ПНЗ,"1,3,2",Количество абонентов ДМС (на начало),603,603
12,ДПР,ПНЗ,"1,4",Потенциал М2 (на начало),965,965
12,ДПР,ПНЗ,"2,1",Количество подъездов за период,16,0
12,ДПР,ПНЗ,"2,2",Количество квартир в подъездах за период,611,0
12,ДПР,ПНЗ,"2,3",Количество голосов ЗА в подъездах за период,0,0
12,ДПР,ПНЗ,"2,4",Количество контактов в подъездах за период,383,0
12,ДПР,ПНЗ,"3,1",ПЛАТНЫХ в подъездах за период,919,0
12,ДПР,ПНЗ,"3,2",БЕСПЛАТНЫХ в подъездах за период,606,0
12,ДПР,ПНЗ,"3,3",Выручка в подъездах за период,NULL,NULL
12,ДПР,ПНЗ,"3,4",Всего ключей в подъездах за период,1525,0
12,ДПР,ПНЗ,"3,5",Ключей ПЛАТНЫХ в подъездах ПОСЛЕ М2,39,0
12,ДПР,ПНЗ,"3,6",Ключей БЕСПЛАТНЫХ  в подъездах ПОСЛЕ М2,18,0
12,ДПР,ПНЗ,"4,1",Соглашений БСУД в подъездах за период,4,0
12,ДПР,СРТ,"1,1",Количество подъездов М2 (на начало),570,0
12,ДПР,СРТ,"1,2",Количество квартир в подъездах М2 (на начало),27407,0
12,ДПР,СРТ,"1,3",Количество абонентов БСУД (на начало),1823,0
12,ДПР,СРТ,"1,3.1",Количество соглашений БСУД (на начало),1973,1973
12,ДПР,СРТ,"1,3,2",Количество абонентов ДМС (на начало),1750,1750
12,ДПР,СРТ,"1,4",Потенциал М2 (на начало),2143,2143
12,ДПР,СРТ,"2,1",Количество подъездов за период,5,0
12,ДПР,СРТ,"2,2",Количество квартир в подъездах за период,585,0
12,ДПР,СРТ,"2,3",Количество голосов ЗА в подъездах за период,497,0
12,ДПР,СРТ,"2,4",Количество контактов в подъездах за период,503,0
12,ДПР,СРТ,"3,1",ПЛАТНЫХ в подъездах за период,628,0
12,ДПР,СРТ,"3,2",БЕСПЛАТНЫХ в подъездах за период,524,0
12,ДПР,СРТ,"3,3",Выручка в подъездах за период,NULL,NULL
12,ДПР,СРТ,"3,4",Всего ключей в подъездах за период,1152,0
12,ДПР,СРТ,"3,5",Ключей ПЛАТНЫХ в подъездах ПОСЛЕ М2,53,0
12,ДПР,СРТ,"3,6",Ключей БЕСПЛАТНЫХ  в подъездах ПОСЛЕ М2,30,0
12,ДПР,СРТ,"4,1",Соглашений БСУД в подъездах за период,0,0
12,ДЦР,ОДЦ,"1,1",Количество подъездов М2 (на начало),0,0
12,ДЦР,ОДЦ,"1,2",Количество квартир в подъездах М2 (на начало),0,0
12,ДЦР,ОДЦ,"1,3",Количество абонентов БСУД (на начало),0,0
12,ДЦР,ОДЦ,"1,3.1",Количество соглашений БСУД (на начало),0,0
12,ДЦР,ОДЦ,"1,3,2",Количество абонентов ДМС (на начало),0,0
12,ДЦР,ОДЦ,"1,4",Потенциал М2 (на начало),397,397
12,ДЦР,ОДЦ,"2,1",Количество подъездов за период,0,0
12,ДЦР,ОДЦ,"2,2",Количество квартир в подъездах за период,0,0
12,ДЦР,ОДЦ,"2,3",Количество голосов ЗА в подъездах за период,0,0
