Месяц,ДР,Имя сервера,Номер,Показатель,Myhome,Спутник
2,ДВР,НВК,"3,6",Ключей БЕСПЛАТНЫХ  в подъездах ПОСЛЕ М2,0,0
2,ДВР,НВК,"4,1",Соглашений БСУД в подъездах за период,0,0
2,ДЦР,ННВ,"1,1",Количество подъездов М2 (на начало),318,0
2,ДЦР,ННВ,"1,2",Количество квартир в подъездах М2 (на начало),15056,0
2,ДЦР,ННВ,"1,3",Количество абонентов БСУД (на начало),350,0
2,ДЦР,ННВ,"1,3,1",Количество соглашений БСУД (на начало),285,285
2,ДЦР,ННВ,"1,3,2",Количество абонентов ДМС (на начало),937,937
2,ДЦР,ННВ,"1,4",Потенциал М2 (на начало),3473,3473
2,ДЦР,ННВ,"2,1",Количество подъездов за период,44,0
2,ДЦР,ННВ,"2,2",Количество квартир в подъездах за период,1723,0
2,ДЦР,ННВ,"2,3",Количество голосов ЗА в подъездах за период,1340,0
2,ДЦР,ННВ,"2,4",Количество контактов в подъездах за период,1259,0
2,ДЦР,ННВ,"3,1",ПЛАТНЫХ в подъездах за период,2923,0
2,ДЦР,ННВ,"3,2",БЕСПЛАТНЫХ в подъездах за период,1541,0
2,ДЦР,ННВ,"3,3",Выручка в подъездах за период,NULL,NULL
2,ДЦР,ННВ,"3,4",Всего ключей в подъездах за период,4464,0
2,ДЦР,ННВ,"3,5",Ключей ПЛАТНЫХ в подъездах ПОСЛЕ М2,394,0
2,ДЦР,ННВ,"3,6",Ключей БЕСПЛАТНЫХ  в подъездах ПОСЛЕ М2,22,0
2,ДЦР,ННВ,"4,1",Соглашений БСУД в подъездах за период,463,0
3,ДПР,ТЛТ,"1,1",Количество подъездов М2 (на начало),0,0
3,ДПР,ТЛТ,"1,2",Количество квартир в подъездах М2 (на начало),0,0
3,ДПР,ТЛТ,"1,3",Количество абонентов БСУД (на начало),0,0
3,ДПР,ТЛТ,"1,3,1",Количество соглашений БСУД (на начало),0,0
3,ДПР,ТЛТ,"1,3,2",Количество абонентов ДМС (на начало),0,0
3,ДПР,ТЛТ,"1,4",Потенциал М2 (на начало),2533,2533
3,ДПР,ТЛТ,"2,1",Количество подъездов за период,0,0
3,ДПР,ТЛТ,"2,2",Количество квартир в подъездах за период,0,0
3,ДПР,ТЛТ,"2,3",Количество голосов ЗА в подъездах за период,0,0
3,ДПР,ТЛТ,"2,4",Количество контактов в подъездах за период,0,0
3,ДПР,ТЛТ,"3,1",ПЛАТНЫХ в подъездах за период,0,0
3,ДПР,ТЛТ,"3,2",БЕСПЛАТНЫХ в подъездах за период,0,0
3,ДПР,ТЛТ,"3,3",Выручка в подъездах за период,NULL,NULL
3,ДПР,ТЛТ,"3,4",Всего ключей в подъездах за период,0,0
3,ДПР,ТЛТ,"3,5",Ключей ПЛАТНЫХ в подъездах ПОСЛЕ М2,0,0
3,ДПР,ТЛТ,"3,6",Ключей БЕСПЛАТНЫХ  в подъездах ПОСЛЕ М2,0,0
3,ДПР,ТЛТ,"4,1",Соглашений БСУД в подъездах за период,0,0
3,ДПР,НФТ,"1,1",Количество подъездов М2 (на начало),0,73
3,ДПР,НФТ,"1,2",Количество квартир в подъездах М2 (на начало),0,1602
3,ДПР,НФТ,"1,3",Количество абонентов БСУД (на начало),0,0
3,ДПР,НФТ,"1,3,1",Количество соглашений БСУД (на начало),0,0
3,ДПР,НФТ,"1,3,2",Количество абонентов ДМС (на начало),0,0
3,ДПР,НФТ,"1,4",Потенциал М2 (на начало),349,349
3,ДПР,НФТ,"2,1",Количество подъездов за период,0,50
3,ДПР,НФТ,"2,2",Количество квартир в подъездах за период,0,1759
3,ДПР,НФТ,"2,3",Количество голосов ЗА в подъездах за период,0,0
3,ДПР,НФТ,"2,4",Количество контактов в подъездах за период,0,1206
3,ДПР,НФТ,"3,1",ПЛАТНЫХ в подъездах за период,0,525
3,ДПР,НФТ,"3,2",БЕСПЛАТНЫХ в подъездах за период,0,3028
3,ДПР,НФТ,"3,3",Выручка в подъездах за период,NULL,NULL
3,ДПР,НФТ,"3,4",Всего ключей в подъездах за период,0,3553
3,ДПР,НФТ,"3,5",Ключей ПЛАТНЫХ в подъездах ПОСЛЕ М2,0,45
3,ДПР,НФТ,"3,6",Ключей БЕСПЛАТНЫХ  в подъездах ПОСЛЕ М2,0,2
3,ДПР,НФТ,"4,1",Соглашений БСУД в подъездах за период,0,0
3,ДПР,СРН,"1,1",Количество подъездов М2 (на начало),0,0
3,ДПР,СРН,"1,2",Количество квартир в подъездах М2 (на начало),0,0
3,ДПР,СРН,"1,3",Количество абонентов БСУД (на начало),0,0
3,ДПР,СРН,"1,3,1",Количество соглашений БСУД (на начало),0,0
3,ДПР,СРН,"1,3,2",Количество абонентов ДМС (на начало),0,0
3,ДПР,СРН,"1,4",Потенциал М2 (на начало),718,718
3,ДПР,СРН,"2,1",Количество подъездов за период,0,0
3,ДПР,СРН,"2,2",Количество квартир в подъездах за период,0,0
3,ДПР,СРН,"2,3",Количество голосов ЗА в подъездах за период,0,0
3,ДПР,СРН,"2,4",Количество контактов в подъездах за период,0,0
3,ДПР,СРН,"3,1",ПЛАТНЫХ в подъездах за период,0,0
3,ДПР,СРН,"3,2",БЕСПЛАТНЫХ в подъездах за период,0,0
3,ДПР,СРН,"3,3",Выручка в подъездах за период,NULL,NULL
3,ДПР,СРН,"3,4",Всего ключей в подъездах за период,0,0
3,ДПР,СРН,"3,5",Ключей ПЛАТНЫХ в подъездах ПОСЛЕ М2,0,0
3,ДПР,СРН,"3,6",Ключей БЕСПЛАТНЫХ  в подъездах ПОСЛЕ М2,0,0
3,ДПР,СРН,"4,1",Соглашений БСУД в подъездах за период,0,0
3,ДПР,ОРН,"1,1",Количество подъездов М2 (на начало),293,0
3,ДПР,ОРН,"1,2",Количество квартир в подъездах М2 (на начало),13897,0
3,ДПР,ОРН,"1,3",Количество абонентов БСУД (на начало),198,0
3,ДПР,ОРН,"1,3,1",Количество соглашений БСУД (на начало),261,261
3,ДПР,ОРН,"1,3,2",Количество абонентов ДМС (на начало),436,436
3,ДПР,ОРН,"1,4",Потенциал М2 (на начало),1235,1235
3,ДПР,ОРН,"2,1",Количество подъездов за период,0,0
3,ДПР,ОРН,"2,2",Количество квартир в подъездах за период,0,0
3,ДПР,ОРН,"2,3",Количество голосов ЗА в подъездах за период,0,0
3,ДПР,ОРН,"2,4",Количество контактов в подъездах за период,0,0
3,ДПР,ОРН,"3,1",ПЛАТНЫХ в подъездах за период,0,0
3,ДПР,ОРН,"3,2",БЕСПЛАТНЫХ в подъездах за период,0,0
3,ДПР,ОРН,"3,3",Выручка в подъездах за период,NULL,NULL
3,ДПР,ОРН,"3,4",Всего ключей в подъездах за период,0,0
3,ДПР,ОРН,"3,5",Ключей ПЛАТНЫХ в подъездах ПОСЛЕ М2,0,0
3,ДПР,ОРН,"3,6",Ключей БЕСПЛАТНЫХ  в подъездах ПОСЛЕ М2,0,0
3,ДПР,ОРН,"4,1",Соглашений БСУД в подъездах за период,0,0
3,ДПР,СМР,"1,1",Количество подъездов М2 (на начало),408,0
3,ДПР,СМР,"1,2",Количество квартир в подъездах М2 (на начало),21557,0
3,ДПР,СМР,"1,3",Количество абонентов БСУД (на начало),915,0
3,ДПР,СМР,"1,3,1",Количество соглашений БСУД (на начало),948,948
3,ДПР,СМР,"1,3,2",Количество абонентов ДМС (на начало),1228,1228
3,ДПР,СМР,"1,4",Потенциал М2 (на начало),2141,2141
3,ДПР,СМР,"2,1",Количество подъездов за период,36,0
3,ДПР,СМР,"2,2",Количество квартир в подъездах за период,1413,0
3,ДПР,СМР,"2,3",Количество голосов ЗА в подъездах за период,1211,0
3,ДПР,СМР,"2,4",Количество контактов в подъездах за период,1246,0
3,ДПР,СМР,"3,1",ПЛАТНЫХ в подъездах за период,2852,0
3,ДПР,СМР,"3,2",БЕСПЛАТНЫХ в подъездах за период,1487,0
3,ДПР,СМР,"3,3",Выручка в подъездах за период,NULL,NULL
3,ДПР,СМР,"3,4",Всего ключей в подъездах за период,4339,0
3,ДПР,СМР,"3,5",Ключей ПЛАТНЫХ в подъездах ПОСЛЕ М2,74,0
3,ДПР,СМР,"3,6",Ключей БЕСПЛАТНЫХ  в подъездах ПОСЛЕ М2,2,0
3,ДПР,СМР,"4,1",Соглашений БСУД в подъездах за период,352,0
3,ДПР,ИЖВ,"1,1",Количество подъездов М2 (на начало),271,0
3,ДПР,ИЖВ,"1,2",Количество квартир в подъездах М2 (на начало),10258,0
3,ДПР,ИЖВ,"1,3",Количество абонентов БСУД (на начало),355,0
3,ДПР,ИЖВ,"1,3,1",Количество соглашений БСУД (на начало),341,341
3,ДПР,ИЖВ,"1,3,2",Количество абонентов ДМС (на начало),470,470
3,ДПР,ИЖВ,"1,4",Потенциал М2 (на начало),977,977
3,ДПР,ИЖВ,"2,1",Количество подъездов за период,0,0
3,ДПР,ИЖВ,"2,2",Количество квартир в подъездах за период,0,0
3,ДПР,ИЖВ,"2,3",Количество голосов ЗА в подъездах за период,0,0
3,ДПР,ИЖВ,"2,4",Количество контактов в подъездах за период,0,0
3,ДПР,ИЖВ,"3,1",ПЛАТНЫХ в подъездах за период,0,0
3,ДПР,ИЖВ,"3,2",БЕСПЛАТНЫХ в подъездах за период,0,0
3,ДПР,ИЖВ,"3,3",Выручка в подъездах за период,NULL,NULL
3,ДПР,ИЖВ,"3,4",Всего ключей в подъездах за период,0,0
3,ДПР,ИЖВ,"3,5",Ключей ПЛАТНЫХ в подъездах ПОСЛЕ М2,0,0
3,ДПР,ИЖВ,"3,6",Ключей БЕСПЛАТНЫХ  в подъездах ПОСЛЕ М2,0,0
3,ДПР,ИЖВ,"4,1",Соглашений БСУД в подъездах за период,0,0
3,ДПР,РНД,"1,1",Количество подъездов М2 (на начало),12,0
3,ДПР,РНД,"1,2",Количество квартир в подъездах М2 (на начало),561,0
3,ДПР,РНД,"1,3",Количество абонентов БСУД (на начало),275,0
3,ДПР,РНД,"1,3,1",Количество соглашений БСУД (на начало),293,293
3,ДПР,РНД,"1,3,2",Количество абонентов ДМС (на начало),0,0
3,ДПР,РНД,"1,4",Потенциал М2 (на начало),1549,1549
3,ДПР,РНД,"2,1",Количество подъездов за период,0,0
3,ДПР,РНД,"2,2",Количество квартир в подъездах за период,0,0
3,ДПР,РНД,"2,3",Количество голосов ЗА в подъездах за период,0,0
3,ДПР,РНД,"2,4",Количество контактов в подъездах за период,0,0
3,ДПР,РНД,"3,1",ПЛАТНЫХ в подъездах за период,0,0
3,ДПР,РНД,"3,2",БЕСПЛАТНЫХ в подъездах за период,0,0
3,ДПР,РНД,"3,3",Выручка в подъездах за период,NULL,NULL
3,ДПР,РНД,"3,4",Всего ключей в подъездах за период,0,0
3,ДПР,РНД,"3,5",Ключей ПЛАТНЫХ в подъездах ПОСЛЕ М2,0,0
3,ДПР,РНД,"3,6",Ключей БЕСПЛАТНЫХ  в подъездах ПОСЛЕ М2,0,0
3,ДПР,РНД,"4,1",Соглашений БСУД в подъездах за период,0,0
3,ДПР,ПНЗ,"1,1",Количество подъездов М2 (на начало),328,0
3,ДПР,ПНЗ,"1,2",Количество квартир в подъездах М2 (на начало),13526,0
3,ДПР,ПНЗ,"1,3",Количество абонентов БСУД (на начало),459,0
3,ДПР,ПНЗ,"1,3,1",Количество соглашений БСУД (на начало),484,484
3,ДПР,ПНЗ,"1,3,2",Количество абонентов ДМС (на начало),603,603
3,ДПР,ПНЗ,"1,4",Потенциал М2 (на начало),957,957
3,ДПР,ПНЗ,"2,1",Количество подъездов за период,43,0
3,ДПР,ПНЗ,"2,2",Количество квартир в подъездах за период,1682,0
3,ДПР,ПНЗ,"2,3",Количество голосов ЗА в подъездах за период,0,0
3,ДПР,ПНЗ,"2,4",Количество контактов в подъездах за период,1057,0
3,ДПР,ПНЗ,"3,1",ПЛАТНЫХ в подъездах за период,2570,0
3,ДПР,ПНЗ,"3,2",БЕСПЛАТНЫХ в подъездах за период,1642,0
3,ДПР,ПНЗ,"3,3",Выручка в подъездах за период,NULL,NULL
3,ДПР,ПНЗ,"3,4",Всего ключей в подъездах за период,4212,0
3,ДПР,ПНЗ,"3,5",Ключей ПЛАТНЫХ в подъездах ПОСЛЕ М2,126,0
3,ДПР,ПНЗ,"3,6",Ключей БЕСПЛАТНЫХ  в подъездах ПОСЛЕ М2,44,0
3,ДПР,ПНЗ,"4,1",Соглашений БСУД в подъездах за период,355,0
3,ДПР,СРТ,"1,1",Количество подъездов М2 (на начало),569,0
3,ДПР,СРТ,"1,2",Количество квартир в подъездах М2 (на начало),27357,0
3,ДПР,СРТ,"1,3",Количество абонентов БСУД (на начало),1598,0
3,ДПР,СРТ,"1,3,1",Количество соглашений БСУД (на начало),1752,1752
3,ДПР,СРТ,"1,3,2",Количество абонентов ДМС (на начало),1792,1792
3,ДПР,СРТ,"1,4",Потенциал М2 (на начало),2146,2146
3,ДПР,СРТ,"2,1",Количество подъездов за период,16,0
3,ДПР,СРТ,"2,2",Количество квартир в подъездах за период,1243,0
3,ДПР,СРТ,"2,3",Количество голосов ЗА в подъездах за период,1059,0
3,ДПР,СРТ,"2,4",Количество контактов в подъездах за период,1086,0
3,ДПР,СРТ,"3,1",ПЛАТНЫХ в подъездах за период,1644,0
3,ДПР,СРТ,"3,2",БЕСПЛАТНЫХ в подъездах за период,1148,0
3,ДПР,СРТ,"3,3",Выручка в подъездах за период,NULL,NULL
3,ДПР,СРТ,"3,4",Всего ключей в подъездах за период,2792,0
3,ДПР,СРТ,"3,5",Ключей ПЛАТНЫХ в подъездах ПОСЛЕ М2,127,0
3,ДПР,СРТ,"3,6",Ключей БЕСПЛАТНЫХ  в подъездах ПОСЛЕ М2,57,0
3,ДПР,СРТ,"4,1",Соглашений БСУД в подъездах за период,322,0
3,ДЦР,ОДЦ,"1,1",Количество подъездов М2 (на начало),0,5
3,ДЦР,ОДЦ,"1,2",Количество квартир в подъездах М2 (на начало),0,163
3,ДЦР,ОДЦ,"1,3",Количество абонентов БСУД (на начало),0,0
3,ДЦР,ОДЦ,"1,3,1",Количество соглашений БСУД (на начало),0,0
3,ДЦР,ОДЦ,"1,3,2",Количество абонентов ДМС (на начало),0,0
3,ДЦР,ОДЦ,"1,4",Потенциал М2 (на начало),394,394
3,ДЦР,ОДЦ,"2,1",Количество подъездов за период,0,0
3,ДЦР,ОДЦ,"2,2",Количество квартир в подъездах за период,0,0
3,ДЦР,ОДЦ,"2,3",Количество голосов ЗА в подъездах за период,0,0
3,ДЦР,ОДЦ,"2,4",Количество контактов в подъездах за период,0,0
3,ДЦР,ОДЦ,"3,1",ПЛАТНЫХ в подъездах за период,0,0
3,ДЦР,ОДЦ,"3,2",БЕСПЛАТНЫХ в подъездах за период,0,0
3,ДЦР,ОДЦ,"3,3",Выручка в подъездах за период,NULL,NULL
3,ДЦР,ОДЦ,"3,4",Всего ключей в подъездах за период,0,0
3,ДЦР,ОДЦ,"3,5",Ключей ПЛАТНЫХ в подъездах ПОСЛЕ М2,0,0
3,ДЦР,ОДЦ,"3,6",Ключей БЕСПЛАТНЫХ  в подъездах ПОСЛЕ М2,0,0
3,ДЦР,ОДЦ,"4,1",Соглашений БСУД в подъездах за период,0,0
3,ДЦР,КЛН,"1,1",Количество подъездов М2 (на начало),0,0
3,ДЦР,КЛН,"1,2",Количество квартир в подъездах М2 (на начало),0,0
3,ДЦР,КЛН,"1,3",Количество абонентов БСУД (на начало),0,0
3,ДЦР,КЛН,"1,3,1",Количество соглашений БСУД (на начало),0,0
3,ДЦР,КЛН,"1,3,2",Количество абонентов ДМС (на начало),0,0
3,ДЦР,КЛН,"1,4",Потенциал М2 (на начало),832,832
3,ДЦР,КЛН,"2,1",Количество подъездов за период,0,0
3,ДЦР,КЛН,"2,2",Количество квартир в подъездах за период,0,0
3,ДЦР,КЛН,"2,3",Количество голосов ЗА в подъездах за период,0,0
3,ДЦР,КЛН,"2,4",Количество контактов в подъездах за период,0,0
3,ДЦР,КЛН,"3,1",ПЛАТНЫХ в подъездах за период,0,0
3,ДЦР,КЛН,"3,2",БЕСПЛАТНЫХ в подъездах за период,0,0
3,ДЦР,КЛН,"3,3",Выручка в подъездах за период,NULL,NULL
3,ДЦР,КЛН,"3,4",Всего ключей в подъездах за период,0,0
3,ДЦР,КЛН,"3,5",Ключей ПЛАТНЫХ в подъездах ПОСЛЕ М2,0,0
3,ДЦР,КЛН,"3,6",Ключей БЕСПЛАТНЫХ  в подъездах ПОСЛЕ М2,0,0
3,ДЦР,КЛН,"4,1",Соглашений БСУД в подъездах за период,0,0
3,ДЦР,БРН,"1,1",Количество подъездов М2 (на начало),21,0
3,ДЦР,БРН,"1,2",Количество квартир в подъездах М2 (на начало),904,0
3,ДЦР,БРН,"1,3",Количество абонентов БСУД (на начало),307,0
3,ДЦР,БРН,"1,3,1",Количество соглашений БСУД (на начало),281,281
3,ДЦР,БРН,"1,3,2",Количество абонентов ДМС (на начало),0,0
3,ДЦР,БРН,"1,4",Потенциал М2 (на начало),1207,1207
3,ДЦР,БРН,"2,1",Количество подъездов за период,7,0
3,ДЦР,БРН,"2,2",Количество квартир в подъездах за период,382,0
3,ДЦР,БРН,"2,3",Количество голосов ЗА в подъездах за период,0,0
3,ДЦР,БРН,"2,4",Количество контактов в подъездах за период,0,0
3,ДЦР,БРН,"3,1",ПЛАТНЫХ в подъездах за период,0,0
3,ДЦР,БРН,"3,2",БЕСПЛАТНЫХ в подъездах за период,0,0
3,ДЦР,БРН,"3,3",Выручка в подъездах за период,NULL,NULL
3,ДЦР,БРН,"3,4",Всего ключей в подъездах за период,0,0
3,ДЦР,БРН,"3,5",Ключей ПЛАТНЫХ в подъездах ПОСЛЕ М2,58,0
3,ДЦР,БРН,"3,6",Ключей БЕСПЛАТНЫХ  в подъездах ПОСЛЕ М2,48,0
3,ДЦР,БРН,"4,1",Соглашений БСУД в подъездах за период,112,0
3,ДЦР,КРС,"1,1",Количество подъездов М2 (на начало),78,0
3,ДЦР,КРС,"1,2",Количество квартир в подъездах М2 (на начало),3111,0
3,ДЦР,КРС,"1,3",Количество абонентов БСУД (на начало),255,0
3,ДЦР,КРС,"1,3,1",Количество соглашений БСУД (на начало),263,263
3,ДЦР,КРС,"1,3,2",Количество абонентов ДМС (на начало),0,0
3,ДЦР,КРС,"1,4",Потенциал М2 (на начало),1002,1002
3,ДЦР,КРС,"2,1",Количество подъездов за период,22,0
3,ДЦР,КРС,"2,2",Количество квартир в подъездах за период,843,0
3,ДЦР,КРС,"2,3",Количество голосов ЗА в подъездах за период,0,0
3,ДЦР,КРС,"2,4",Количество контактов в подъездах за период,728,0
3,ДЦР,КРС,"3,1",ПЛАТНЫХ в подъездах за период,1570,0
3,ДЦР,КРС,"3,2",БЕСПЛАТНЫХ в подъездах за период,921,0
3,ДЦР,КРС,"3,3",Выручка в подъездах за период,NULL,NULL
3,ДЦР,КРС,"3,4",Всего ключей в подъездах за период,2491,0
3,ДЦР,КРС,"3,5",Ключей ПЛАТНЫХ в подъездах ПОСЛЕ М2,36,0
3,ДЦР,КРС,"3,6",Ключей БЕСПЛАТНЫХ  в подъездах ПОСЛЕ М2,0,0
3,ДЦР,КРС,"4,1",Соглашений БСУД в подъездах за период,230,0
3,ДЦР,АРХ,"1,1",Количество подъездов М2 (на начало),0,0
3,ДЦР,АРХ,"1,2",Количество квартир в подъездах М2 (на начало),0,0
3,ДЦР,АРХ,"1,3",Количество абонентов БСУД (на начало),0,0
3,ДЦР,АРХ,"1,3,1",Количество соглашений БСУД (на начало),0,0
3,ДЦР,АРХ,"1,3,2",Количество абонентов ДМС (на начало),0,0
3,ДЦР,АРХ,"1,4",Потенциал М2 (на начало),1483,1483
3,ДЦР,АРХ,"2,1",Количество подъездов за период,0,0
3,ДЦР,АРХ,"2,2",Количество квартир в подъездах за период,0,0
3,ДЦР,АРХ,"2,3",Количество голосов ЗА в подъездах за период,0,0
3,ДЦР,АРХ,"2,4",Количество контактов в подъездах за период,0,0
3,ДЦР,АРХ,"3,1",ПЛАТНЫХ в подъездах за период,0,0
3,ДЦР,АРХ,"3,2",БЕСПЛАТНЫХ в подъездах за период,0,0
3,ДЦР,АРХ,"3,3",Выручка в подъездах за период,NULL,NULL
3,ДЦР,АРХ,"3,4",Всего ключей в подъездах за период,0,0
3,ДЦР,АРХ,"3,5",Ключей ПЛАТНЫХ в подъездах ПОСЛЕ М2,0,0
3,ДЦР,АРХ,"3,6",Ключей БЕСПЛАТНЫХ  в подъездах ПОСЛЕ М2,0,0
3,ДЦР,АРХ,"4,1",Соглашений БСУД в подъездах за период,0,0
3,ДЦР,СПБ,"1,1",Количество подъездов М2 (на начало),20,0
3,ДЦР,СПБ,"1,2",Количество квартир в подъездах М2 (на начало),713,0
3,ДЦР,СПБ,"1,3",Количество абонентов БСУД (на начало),107,0
3,ДЦР,СПБ,"1,3,1",Количество соглашений БСУД (на начало),101,101
3,ДЦР,СПБ,"1,3,2",Количество абонентов ДМС (на начало),6,6
3,ДЦР,СПБ,"1,4",Потенциал М2 (на начало),8003,8003
3,ДЦР,СПБ,"2,1",Количество подъездов за период,4,0
3,ДЦР,СПБ,"2,2",Количество квартир в подъездах за период,144,0
3,ДЦР,СПБ,"2,3",Количество голосов ЗА в подъездах за период,0,0
3,ДЦР,СПБ,"2,4",Количество контактов в подъездах за период,64,0
3,ДЦР,СПБ,"3,1",ПЛАТНЫХ в подъездах за период,174,0
3,ДЦР,СПБ,"3,2",БЕСПЛАТНЫХ в подъездах за период,77,0
3,ДЦР,СПБ,"3,3",Выручка в подъездах за период,NULL,NULL
3,ДЦР,СПБ,"3,4",Всего ключей в подъездах за период,251,0
3,ДЦР,СПБ,"3,5",Ключей ПЛАТНЫХ в подъездах ПОСЛЕ М2,30,0
3,ДЦР,СПБ,"3,6",Ключей БЕСПЛАТНЫХ  в подъездах ПОСЛЕ М2,7,0
3,ДЦР,СПБ,"4,1",Соглашений БСУД в подъездах за период,30,0
3,ДЦР,ННВ,"1,1",Количество подъездов М2 (на начало),363,0
3,ДЦР,ННВ,"1,2",Количество квартир в подъездах М2 (на начало),16815,0
3,ДЦР,ННВ,"1,3",Количество абонентов БСУД (на начало),1200,0
3,ДЦР,ННВ,"1,3,1",Количество соглашений БСУД (на начало),1200,1200
3,ДЦР,ННВ,"1,3,2",Количество абонентов ДМС (на начало),919,919
3,ДЦР,ННВ,"1,4",Потенциал М2 (на начало),3470,3470
3,ДЦР,ННВ,"2,1",Количество подъездов за период,29,0
3,ДЦР,ННВ,"2,2",Количество квартир в подъездах за период,1114,0
3,ДЦР,ННВ,"2,3",Количество голосов ЗА в подъездах за период,948,0
3,ДЦР,ННВ,"2,4",Количество контактов в подъездах за период,827,0
3,ДЦР,ННВ,"3,1",ПЛАТНЫХ в подъездах за период,1888,0
3,ДЦР,ННВ,"3,2",БЕСПЛАТНЫХ в подъездах за период,984,0
3,ДЦР,ННВ,"3,3",Выручка в подъездах за период,NULL,NULL
3,ДЦР,ННВ,"3,4",Всего ключей в подъездах за период,2872,0
3,ДЦР,ННВ,"3,5",Ключей ПЛАТНЫХ в подъездах ПОСЛЕ М2,108,0
3,ДЦР,ННВ,"3,6",Ключей БЕСПЛАТНЫХ  в подъездах ПОСЛЕ М2,13,0
3,ДЦР,ННВ,"4,1",Соглашений БСУД в подъездах за период,512,0
3,ДВР,КМР,"1,1",Количество подъездов М2 (на начало),0,32
3,ДВР,КМР,"1,2",Количество квартир в подъездах М2 (на начало),0,1281
3,ДВР,КМР,"1,3",Количество абонентов БСУД (на начало),0,0
3,ДВР,КМР,"1,3,1",Количество соглашений БСУД (на начало),0,0
3,ДВР,КМР,"1,3,2",Количество абонентов ДМС (на начало),0,0
3,ДВР,КМР,"1,4",Потенциал М2 (на начало),628,628
3,ДВР,КМР,"2,1",Количество подъездов за период,0,23
3,ДВР,КМР,"2,2",Количество квартир в подъездах за период,0,888
3,ДВР,КМР,"2,3",Количество голосов ЗА в подъездах за период,0,0
3,ДВР,КМР,"2,4",Количество контактов в подъездах за период,0,806
3,ДВР,КМР,"3,1",ПЛАТНЫХ в подъездах за период,0,1276
3,ДВР,КМР,"3,2",БЕСПЛАТНЫХ в подъездах за период,0,817
3,ДВР,КМР,"3,3",Выручка в подъездах за период,NULL,NULL
3,ДВР,КМР,"3,4",Всего ключей в подъездах за период,0,2093
3,ДВР,КМР,"3,5",Ключей ПЛАТНЫХ в подъездах ПОСЛЕ М2,0,135
3,ДВР,КМР,"3,6",Ключей БЕСПЛАТНЫХ  в подъездах ПОСЛЕ М2,0,0
3,ДВР,КМР,"4,1",Соглашений БСУД в подъездах за период,0,0
3,ДВР,НВС,"1,1",Количество подъездов М2 (на начало),0,0
3,ДВР,НВС,"1,2",Количество квартир в подъездах М2 (на начало),0,0
3,ДВР,НВС,"1,3",Количество абонентов БСУД (на начало),0,0
3,ДВР,НВС,"1,3,1",Количество соглашений БСУД (на начало),0,0
3,ДВР,НВС,"1,3,2",Количество абонентов ДМС (на начало),0,0
3,ДВР,НВС,"1,4",Потенциал М2 (на начало),1824,1824
3,ДВР,НВС,"2,1",Количество подъездов за период,0,0
3,ДВР,НВС,"2,2",Количество квартир в подъездах за период,0,0
3,ДВР,НВС,"2,3",Количество голосов ЗА в подъездах за период,0,0
3,ДВР,НВС,"2,4",Количество контактов в подъездах за период,0,0
3,ДВР,НВС,"3,1",ПЛАТНЫХ в подъездах за период,0,0
3,ДВР,НВС,"3,2",БЕСПЛАТНЫХ в подъездах за период,0,0
3,ДВР,НВС,"3,3",Выручка в подъездах за период,NULL,NULL
3,ДВР,НВС,"3,4",Всего ключей в подъездах за период,0,0
3,ДВР,НВС,"3,5",Ключей ПЛАТНЫХ в подъездах ПОСЛЕ М2,0,0
3,ДВР,НВС,"3,6",Ключей БЕСПЛАТНЫХ  в подъездах ПОСЛЕ М2,0,0
3,ДВР,НВС,"4,1",Соглашений БСУД в подъездах за период,0,0
3,ДВР,ЕКТ,"1,1",Количество подъездов М2 (на начало),139,0
3,ДВР,ЕКТ,"1,2",Количество квартир в подъездах М2 (на начало),7491,0
3,ДВР,ЕКТ,"1,3",Количество абонентов БСУД (на начало),605,0
3,ДВР,ЕКТ,"1,3,1",Количество соглашений БСУД (на начало),789,789
3,ДВР,ЕКТ,"1,3,2",Количество абонентов ДМС (на начало),578,578
3,ДВР,ЕКТ,"1,4",Потенциал М2 (на начало),249,249
3,ДВР,ЕКТ,"2,1",Количество подъездов за период,17,0
3,ДВР,ЕКТ,"2,2",Количество квартир в подъездах за период,730,0
3,ДВР,ЕКТ,"2,3",Количество голосов ЗА в подъездах за период,500,0
3,ДВР,ЕКТ,"2,4",Количество контактов в подъездах за период,522,0
3,ДВР,ЕКТ,"3,1",ПЛАТНЫХ в подъездах за период,1096,0
3,ДВР,ЕКТ,"3,2",БЕСПЛАТНЫХ в подъездах за период,764,0
3,ДВР,ЕКТ,"3,3",Выручка в подъездах за период,NULL,NULL
3,ДВР,ЕКТ,"3,4",Всего ключей в подъездах за период,1860,0
3,ДВР,ЕКТ,"3,5",Ключей ПЛАТНЫХ в подъездах ПОСЛЕ М2,69,0
3,ДВР,ЕКТ,"3,6",Ключей БЕСПЛАТНЫХ  в подъездах ПОСЛЕ М2,4,0
3,ДВР,ЕКТ,"4,1",Соглашений БСУД в подъездах за период,238,0
3,ДВР,ЧЛБ,"1,1",Количество подъездов М2 (на начало),409,0
3,ДВР,ЧЛБ,"1,2",Количество квартир в подъездах М2 (на начало),17128,0
3,ДВР,ЧЛБ,"1,3",Количество абонентов БСУД (на начало),0,0
3,ДВР,ЧЛБ,"1,3,1",Количество соглашений БСУД (на начало),0,0
3,ДВР,ЧЛБ,"1,3,2",Количество абонентов ДМС (на начало),0,0
3,ДВР,ЧЛБ,"1,4",Потенциал М2 (на начало),163,163
