Месяц,ДР,Имя сервера,Номер,Показатель,Myhome,Спутник
1,ДВР,НВК,"2,4",Количество контактов в подъездах за период,0,0
1,ДВР,НВК,"3,1",ПЛАТНЫХ в подъездах за период,0,0
1,ДВР,НВК,"3,2",БЕСПЛАТНЫХ в подъездах за период,0,0
1,ДВР,НВК,"3,3",Выручка в подъездах за период,NULL,NULL
1,ДВР,НВК,"3,4",Всего ключей в подъездах за период,0,0
1,ДВР,НВК,"3,5",Ключей ПЛАТНЫХ в подъездах ПОСЛЕ М2,0,0
1,ДВР,НВК,"3,6",Ключей БЕСПЛАТНЫХ  в подъездах ПОСЛЕ М2,0,0
1,ДВР,НВК,"4,1",Соглашений БСУД в подъездах за период,0,0
1,ДПР,ПНЗ,"1,1",Количество подъездов М2 (на начало),300,0
1,ДПР,ПНЗ,"1,2",Количество квартир в подъездах М2 (на начало),12448,0
1,ДПР,ПНЗ,"1,3",Количество абонентов БСУД (на начало),75,0
1,ДПР,ПНЗ,"1,3,1",Количество соглашений БСУД (на начало),75,75
1,ДПР,ПНЗ,"1,3,2",Количество абонентов ДМС (на начало),603,603
1,ДПР,ПНЗ,"1,4",Потенциал М2 (на начало),965,965
1,ДПР,ПНЗ,"2,1",Количество подъездов за период,20,0
1,ДПР,ПНЗ,"2,2",Количество квартир в подъездах за период,721,0
1,ДПР,ПНЗ,"2,3",Количество голосов ЗА в подъездах за период,0,0
1,ДПР,ПНЗ,"2,4",Количество контактов в подъездах за период,459,0
1,ДПР,ПНЗ,"3,1",ПЛАТНЫХ в подъездах за период,1307,0
1,ДПР,ПНЗ,"3,2",БЕСПЛАТНЫХ в подъездах за период,735,0
1,ДПР,ПНЗ,"3,3",Выручка в подъездах за период,NULL,NULL
1,ДПР,ПНЗ,"3,4",Всего ключей в подъездах за период,2042,0
1,ДПР,ПНЗ,"3,5",Ключей ПЛАТНЫХ в подъездах ПОСЛЕ М2,100,0
1,ДПР,ПНЗ,"3,6",Ключей БЕСПЛАТНЫХ  в подъездах ПОСЛЕ М2,20,0
1,ДПР,ПНЗ,"4,1",Соглашений БСУД в подъездах за период,172,0
1,ДПР,ИЖВ,"1,1",Количество подъездов М2 (на начало),208,0
1,ДПР,ИЖВ,"1,2",Количество квартир в подъездах М2 (на начало),7949,0
1,ДПР,ИЖВ,"1,3",Количество абонентов БСУД (на начало),19,0
1,ДПР,ИЖВ,"1,3,1",Количество соглашений БСУД (на начало),0,0
1,ДПР,ИЖВ,"1,3,2",Количество абонентов ДМС (на начало),473,473
1,ДПР,ИЖВ,"1,4",Потенциал М2 (на начало),980,980
1,ДПР,ИЖВ,"2,1",Количество подъездов за период,20,0
1,ДПР,ИЖВ,"2,2",Количество квартир в подъездах за период,708,0
1,ДПР,ИЖВ,"2,3",Количество голосов ЗА в подъездах за период,593,0
1,ДПР,ИЖВ,"2,4",Количество контактов в подъездах за период,527,0
1,ДПР,ИЖВ,"3,1",ПЛАТНЫХ в подъездах за период,1125,0
1,ДПР,ИЖВ,"3,2",БЕСПЛАТНЫХ в подъездах за период,650,0
1,ДПР,ИЖВ,"3,3",Выручка в подъездах за период,NULL,NULL
1,ДПР,ИЖВ,"3,4",Всего ключей в подъездах за период,1775,0
1,ДПР,ИЖВ,"3,5",Ключей ПЛАТНЫХ в подъездах ПОСЛЕ М2,105,0
1,ДПР,ИЖВ,"3,6",Ключей БЕСПЛАТНЫХ  в подъездах ПОСЛЕ М2,0,0
1,ДПР,ИЖВ,"4,1",Соглашений БСУД в подъездах за период,107,0
1,ДПР,НФТ,"1,1",Количество подъездов М2 (на начало),0,0
1,ДПР,НФТ,"1,2",Количество квартир в подъездах М2 (на начало),0,0
1,ДПР,НФТ,"1,3",Количество абонентов БСУД (на начало),0,0
1,ДПР,НФТ,"1,3,1",Количество соглашений БСУД (на начало),0,0
1,ДПР,НФТ,"1,3,2",Количество абонентов ДМС (на начало),0,0
1,ДПР,НФТ,"1,4",Потенциал М2 (на начало),424,424
1,ДПР,НФТ,"2,1",Количество подъездов за период,0,0
1,ДПР,НФТ,"2,2",Количество квартир в подъездах за период,0,0
1,ДПР,НФТ,"2,3",Количество голосов ЗА в подъездах за период,0,0
1,ДПР,НФТ,"2,4",Количество контактов в подъездах за период,0,0
1,ДПР,НФТ,"3,1",ПЛАТНЫХ в подъездах за период,0,0
1,ДПР,НФТ,"3,2",БЕСПЛАТНЫХ в подъездах за период,0,0
1,ДПР,НФТ,"3,3",Выручка в подъездах за период,NULL,NULL
1,ДПР,НФТ,"3,4",Всего ключей в подъездах за период,0,0
1,ДПР,НФТ,"3,5",Ключей ПЛАТНЫХ в подъездах ПОСЛЕ М2,0,0
1,ДПР,НФТ,"3,6",Ключей БЕСПЛАТНЫХ  в подъездах ПОСЛЕ М2,0,0
1,ДПР,НФТ,"4,1",Соглашений БСУД в подъездах за период,0,0
1,ДПР,ОРН,"1,1",Количество подъездов М2 (на начало),267,0
1,ДПР,ОРН,"1,2",Количество квартир в подъездах М2 (на начало),12949,0
1,ДПР,ОРН,"1,3",Количество абонентов БСУД (на начало),50,0
1,ДПР,ОРН,"1,3,1",Количество соглашений БСУД (на начало),61,61
1,ДПР,ОРН,"1,3,2",Количество абонентов ДМС (на начало),454,454
1,ДПР,ОРН,"1,4",Потенциал М2 (на начало),1237,1237
1,ДПР,ОРН,"2,1",Количество подъездов за период,10,0
1,ДПР,ОРН,"2,2",Количество квартир в подъездах за период,360,0
1,ДПР,ОРН,"2,3",Количество голосов ЗА в подъездах за период,129,0
1,ДПР,ОРН,"2,4",Количество контактов в подъездах за период,172,0
1,ДПР,ОРН,"3,1",ПЛАТНЫХ в подъездах за период,619,0
1,ДПР,ОРН,"3,2",БЕСПЛАТНЫХ в подъездах за период,340,0
1,ДПР,ОРН,"3,3",Выручка в подъездах за период,NULL,NULL
1,ДПР,ОРН,"3,4",Всего ключей в подъездах за период,959,0
1,ДПР,ОРН,"3,5",Ключей ПЛАТНЫХ в подъездах ПОСЛЕ М2,49,0
1,ДПР,ОРН,"3,6",Ключей БЕСПЛАТНЫХ  в подъездах ПОСЛЕ М2,0,0
1,ДПР,ОРН,"4,1",Соглашений БСУД в подъездах за период,93,0
1,ДПР,СРН,"1,1",Количество подъездов М2 (на начало),0,0
1,ДПР,СРН,"1,2",Количество квартир в подъездах М2 (на начало),0,0
1,ДПР,СРН,"1,3",Количество абонентов БСУД (на начало),0,0
1,ДПР,СРН,"1,3,1",Количество соглашений БСУД (на начало),0,0
1,ДПР,СРН,"1,3,2",Количество абонентов ДМС (на начало),0,0
1,ДПР,СРН,"1,4",Потенциал М2 (на начало),718,718
1,ДПР,СРН,"2,1",Количество подъездов за период,0,0
1,ДПР,СРН,"2,2",Количество квартир в подъездах за период,0,0
1,ДПР,СРН,"2,3",Количество голосов ЗА в подъездах за период,0,0
1,ДПР,СРН,"2,4",Количество контактов в подъездах за период,0,0
1,ДПР,СРН,"3,1",ПЛАТНЫХ в подъездах за период,0,0
1,ДПР,СРН,"3,2",БЕСПЛАТНЫХ в подъездах за период,0,0
1,ДПР,СРН,"3,3",Выручка в подъездах за период,NULL,NULL
1,ДПР,СРН,"3,4",Всего ключей в подъездах за период,0,0
1,ДПР,СРН,"3,5",Ключей ПЛАТНЫХ в подъездах ПОСЛЕ М2,0,0
1,ДПР,СРН,"3,6",Ключей БЕСПЛАТНЫХ  в подъездах ПОСЛЕ М2,0,0
1,ДПР,СРН,"4,1",Соглашений БСУД в подъездах за период,0,0
1,ДПР,ТЛТ,"1,1",Количество подъездов М2 (на начало),0,0
1,ДПР,ТЛТ,"1,2",Количество квартир в подъездах М2 (на начало),0,0
1,ДПР,ТЛТ,"1,3",Количество абонентов БСУД (на начало),0,0
1,ДПР,ТЛТ,"1,3,1",Количество соглашений БСУД (на начало),0,0
1,ДПР,ТЛТ,"1,3,2",Количество абонентов ДМС (на начало),0,0
1,ДПР,ТЛТ,"1,4",Потенциал М2 (на начало),2533,2533
1,ДПР,ТЛТ,"2,1",Количество подъездов за период,0,0
1,ДПР,ТЛТ,"2,2",Количество квартир в подъездах за период,0,0
1,ДПР,ТЛТ,"2,3",Количество голосов ЗА в подъездах за период,0,0
1,ДПР,ТЛТ,"2,4",Количество контактов в подъездах за период,0,0
1,ДПР,ТЛТ,"3,1",ПЛАТНЫХ в подъездах за период,0,0
1,ДПР,ТЛТ,"3,2",БЕСПЛАТНЫХ в подъездах за период,0,0
1,ДПР,ТЛТ,"3,3",Выручка в подъездах за период,NULL,NULL
1,ДПР,ТЛТ,"3,4",Всего ключей в подъездах за период,0,0
1,ДПР,ТЛТ,"3,5",Ключей ПЛАТНЫХ в подъездах ПОСЛЕ М2,0,0
1,ДПР,ТЛТ,"3,6",Ключей БЕСПЛАТНЫХ  в подъездах ПОСЛЕ М2,0,0
1,ДПР,ТЛТ,"4,1",Соглашений БСУД в подъездах за период,0,0
1,ДПР,СМР,"1,1",Количество подъездов М2 (на начало),334,0
1,ДПР,СМР,"1,2",Количество квартир в подъездах М2 (на начало),18736,0
1,ДПР,СМР,"1,3",Количество абонентов БСУД (на начало),151,0
1,ДПР,СМР,"1,3,1",Количество соглашений БСУД (на начало),3,3
1,ДПР,СМР,"1,3,2",Количество абонентов ДМС (на начало),1229,1229
1,ДПР,СМР,"1,4",Потенциал М2 (на начало),2143,2143
1,ДПР,СМР,"2,1",Количество подъездов за период,20,0
1,ДПР,СМР,"2,2",Количество квартир в подъездах за период,829,0
1,ДПР,СМР,"2,3",Количество голосов ЗА в подъездах за период,713,0
1,ДПР,СМР,"2,4",Количество контактов в подъездах за период,730,0
1,ДПР,СМР,"3,1",ПЛАТНЫХ в подъездах за период,1769,0
1,ДПР,СМР,"3,2",БЕСПЛАТНЫХ в подъездах за период,878,0
1,ДПР,СМР,"3,3",Выручка в подъездах за период,NULL,NULL
1,ДПР,СМР,"3,4",Всего ключей в подъездах за период,2647,0
1,ДПР,СМР,"3,5",Ключей ПЛАТНЫХ в подъездах ПОСЛЕ М2,98,0
1,ДПР,СМР,"3,6",Ключей БЕСПЛАТНЫХ  в подъездах ПОСЛЕ М2,21,0
1,ДПР,СМР,"4,1",Соглашений БСУД в подъездах за период,224,0
1,ДПР,РНД,"1,1",Количество подъездов М2 (на начало),11,0
1,ДПР,РНД,"1,2",Количество квартир в подъездах М2 (на начало),521,0
1,ДПР,РНД,"1,3",Количество абонентов БСУД (на начало),229,0
1,ДПР,РНД,"1,3,1",Количество соглашений БСУД (на начало),16,16
1,ДПР,РНД,"1,3,2",Количество абонентов ДМС (на начало),0,0
1,ДПР,РНД,"1,4",Потенциал М2 (на начало),1549,1549
1,ДПР,РНД,"2,1",Количество подъездов за период,0,0
1,ДПР,РНД,"2,2",Количество квартир в подъездах за период,0,0
1,ДПР,РНД,"2,3",Количество голосов ЗА в подъездах за период,0,0
1,ДПР,РНД,"2,4",Количество контактов в подъездах за период,0,0
1,ДПР,РНД,"3,1",ПЛАТНЫХ в подъездах за период,0,0
1,ДПР,РНД,"3,2",БЕСПЛАТНЫХ в подъездах за период,0,0
1,ДПР,РНД,"3,3",Выручка в подъездах за период,NULL,NULL
1,ДПР,РНД,"3,4",Всего ключей в подъездах за период,0,0
1,ДПР,РНД,"3,5",Ключей ПЛАТНЫХ в подъездах ПОСЛЕ М2,0,0
1,ДПР,РНД,"3,6",Ключей БЕСПЛАТНЫХ  в подъездах ПОСЛЕ М2,0,0
1,ДПР,РНД,"4,1",Соглашений БСУД в подъездах за период,0,0
1,ДПР,СРТ,"1,1",Количество подъездов М2 (на начало),464,0
1,ДПР,СРТ,"1,2",Количество квартир в подъездах М2 (на начало),23042,0
1,ДПР,СРТ,"1,3",Количество абонентов БСУД (на начало),206,0
1,ДПР,СРТ,"1,3,1",Количество соглашений БСУД (на начало),211,211
1,ДПР,СРТ,"1,3,2",Количество абонентов ДМС (на начало),1750,1750
1,ДПР,СРТ,"1,4",Потенциал М2 (на начало),2143,2143
1,ДПР,СРТ,"2,1",Количество подъездов за период,42,0
